student_id,math,bio,physics,chem,computer,aggregate,apt_math,apt_science,apt_verbal,apt_logical,apt_spatial,int_medical,int_engineering,int_computer,int_research,int_arts,personality
STU_0,99.66204285645276,99.40721987143748,100.0,100.0,100.0,99.81385254557804,98.14847077347578,98.7702181058769,74.92718202326047,99.30081934276281,82.4512820835557,100.0,100.0,100.0,100.0,79.88158146315212,ESTP
STU_1,89.47112914574802,72.9726920541521,81.57268257722089,95.14131633758683,100.0,87.83156402294156,81.859060136797,86.41928795022426,67.00755549427107,93.5559236331568,40.27831148602815,87.33527115222111,100.0,100.0,79.85374742385393,46.55143584899128,ISTJ
STU_2,63.298497671107306,36.49443977263997,53.86856699106832,29.83262223586936,67.54661631727697,50.208148597592384,50.84561680503499,29.48568747790249,59.09190862087781,55.257249161406385,92.5064961537795,72.72745172355205,65.45131003060382,99.11524766599094,55.768218490612156,49.61739006957697,ESTJ
STU_3,100.0,95.31108892729196,84.74995285862343,95.85268436457407,97.75278169886771,94.73330156987143,93.72999323176153,91.53306036040388,64.27338363568597,83.21907520486008,75.61546856599502,100.0,100.0,100.0,96.82628792422452,39.09280104760939,ESFJ
STU_4,74.75803627304673,49.70729565029057,65.65452585411462,57.871225655887066,67.57657680312062,63.11353204729191,80.7437880127205,61.0668493795304,56.230280404654245,85.69314552493555,63.944156859916696,88.32582531991477,100.0,71.30590764878869,93.66005268936887,37.86225433805196,ESTJ
STU_5,73.97145108812292,100.0,99.16147926613188,100.0,68.02107245684932,88.23080056222082,68.05508450882003,100.0,66.04156050664768,58.51296760944558,62.54148187294895,100.0,100.0,56.02157365224976,95.99641924620097,73.02782018974341,ESTP
STU_6,71.15527628658728,73.89421342709848,61.20781020261729,50.0939882170522,77.25577039991192,66.72141170665343,56.01434400028512,78.12491477829957,64.84127676392383,77.06458845839568,72.22186699947035,87.61889575741418,100.0,100.0,99.45797382505006,51.522552244306745,ISFJ
STU_7,91.63038659267869,95.70054620413283,98.53870117476674,90.16362599341103,93.48701298797857,93.90405459059357,74.08314352922449,100.0,77.2059821910346,69.07971173749041,62.941420865651345,100.0,100.0,100.0,80.9351717501842,61.09160623783776,ENFP
STU_8,80.09833261547419,68.76720778246263,42.19392093341327,35.82292663965669,89.55589103102511,63.28765580040638,100.0,56.876294845328204,81.71705315681129,90.53258282133588,87.99636332642575,68.7937886584548,79.42663319607897,100.0,68.2934714772702,67.19096218360747,ISTP
STU_9,67.70027576668157,55.4880177499007,58.765785992818465,56.2074350405836,56.719802613317,58.97626343266027,62.79155595446411,54.413607142740865,62.22463047734075,67.87868459643876,85.88140766342212,89.22645500416849,100.0,100.0,91.26354487562237,80.85459250976174,INFP
STU_10,95.69602935713002,69.47919571579783,74.46110769133044,78.86914645806347,94.95900614507335,82.69289707347903,96.78151461427971,74.31273093107092,67.90479747288471,100.0,79.43644848574654,72.38620401914343,100.0,100.0,100.0,27.267955763379117,ESFJ
STU_11,93.95323714504734,89.15875025101617,72.8229398825359,91.3381773917557,90.80449423443467,87.61551978095795,97.10726382930432,88.65046300432404,57.212764234614,90.01734646966054,59.29119808779926,100.0,100.0,85.45564506242476,80.80077257060205,64.73674782459041,ESTJ
STU_12,71.64338043683412,68.77613305779816,67.61403300098614,84.79118227689887,74.41010057965008,73.44696587043347,70.44110373527221,65.6572973261649,100.0,65.65852038002146,70.6694839224291,100.0,71.80252409686861,100.0,86.95138264233248,70.25030953954345,ISTP
STU_13,65.3442710985188,62.59547450392247,62.031795657081176,68.28482124501771,73.1307087816602,66.27741425724007,73.95638484021201,79.09088784303276,57.45547443353759,67.64447264059962,49.86072865617117,98.8142204079741,86.41514920867252,100.0,100.0,52.54606560413961,INFP
STU_14,93.90357486566651,96.02259664568984,94.50349599019441,80.97954615215234,81.57748178885446,89.39733908851152,96.01466937517695,84.91982904225142,83.01434877860567,94.52435638298488,65.17593649756307,86.10216859868024,100.0,100.0,100.0,66.21948669236295,ENTJ
STU_15,68.02935042521631,51.41075064039023,60.24345972493546,65.40496968010184,57.90531524947386,60.598769144023535,57.151693010436794,55.968026160264245,64.31501953652585,55.54693670225633,69.26236127617558,94.63680484878654,100.0,70.34353926781407,95.5686294992779,46.74127389577737,INFP
STU_16,59.691443146401966,61.62497075772387,66.43886363318408,57.32608690427814,58.69375458921675,60.75502380616096,64.68054170182872,53.927669411919794,71.42492276517896,58.62563661756384,70.92040290526293,70.18689619010914,69.47694358058811,75.96036183636825,100.0,44.581741812369444,ISTP
STU_17,59.306963719867746,93.5894719720546,88.40017849058798,87.64333274117853,65.83188971406364,78.9543673275505,55.68595033587726,91.3644115183928,64.74660216982441,73.0560063159304,78.82772300748385,69.77743639717617,93.41254859011744,100.0,69.3130011688697,76.29753071760739,ENTP
STU_18,88.71304551640684,74.20624527704165,70.96613106819444,72.94139009343891,88.02346397558489,78.97005518613335,92.65553342219391,69.34072178087557,62.24912244621523,99.09919506251143,69.99731406168597,100.0,83.61293542590067,91.54112635952586,100.0,61.6373562686747,ISFP
STU_19,70.59132886840518,65.83059757018839,64.70934263504745,63.31453753186721,80.23593880445343,68.93634908199233,76.3988629792639,67.14229661020173,52.44944856428012,64.0121323991481,68.18327274145757,89.48043437696185,74.38861919611617,100.0,66.4463369182003,81.11087799828658,ENFP
STU_20,84.82531686556135,90.75163587394049,70.43092850863158,79.23993373689173,91.55761157625939,83.3610853122569,75.04050644437439,85.17180110757984,74.87697362673761,77.62819452369953,59.079069417093436,88.61064570882066,86.69457830260046,84.02591377470938,100.0,49.11610398632765,ISFJ
STU_21,68.33096785458163,67.66112792316461,70.8413291898034,84.85621801873917,67.1288370022052,71.7636959976988,65.98525494250934,85.7343321486734,69.8484885804661,61.07965264720373,81.484261997125,100.0,81.6333172594141,100.0,92.47828723767694,53.246849335943594,INTJ
STU_22,56.9139459795287,72.42276392194114,77.76339181662239,76.00076404033638,70.1179206147641,70.64375727463855,45.87762496829605,81.66057448946076,63.261834633235935,46.10846591485647,62.230793747535245,100.0,100.0,67.1341865247591,100.0,64.95500531068558,ESTP
STU_23,80.2113254938322,64.87105576603402,78.86906347084845,77.14032927591644,77.16768824062979,75.65189244945218,68.83672858658193,60.40534094502438,91.26709933968917,66.05705665840702,73.04168195476582,95.36806386660652,100.0,76.35979306518774,66.0443670352577,58.83472744764413,INFJ
